Work_Location,Age,Experience_Years,Work_Hours_Per_Week,Salary,Sleep_Hours,Social_Interactions,Productivity,Isolation_Score,WellBeing_Score,Stress_Level
Office,36,9.2,48.5,8414,7.4,6.1,76.1,3.21,4.82,Medium
Remote,26,3.2,38.2,7196,6.5,2.2,77.6,5.56,1.14,High
Office,40,12.5,46.7,9111,7.2,7.1,81.3,3.09,5.15,Medium
Office,35,8.7,50.3,8968,4.8,3.8,73.2,4.58,1.59,High
Office,33,10.9,50.5,9032,5.5,5.3,62.4,2.87,3.48,High
Remote,30,8.3,35.8,9008,7,6.4,77.4,5.15,4.04,High
Office,42,18,45.8,11569,5.2,8,54,3.98,4.35,High
Remote,48,24,45.4,13918,5.6,3.8,84.6,5.96,3.38,High
Remote,26,3.3,37.1,7909,7.6,5.4,76.9,5.76,4.49,High
Office,47,23.9,45.7,12260,6.9,5.3,97.7,1.68,3.78,High
Hybrid,50,26.8,48.9,14119,5.4,3.7,77.9,4.72,2,High
Remote,29,6.1,46.2,9278,6.5,7.9,73.4,7.89,3.59,High
Remote,33,7.2,30.9,8634,6.2,5.5,88.4,6.66,2.4,High
Office,27,3.6,48.3,7600,7.1,4.1,82.7,2.29,3.82,High
Hybrid,32,9.4,44.8,8901,7.8,4.3,83.3,3.5,4.1,High
Office,35,9.8,41.5,7510,6.7,5,71.3,2.6,4.75,Medium
Remote,35,12.9,46.7,10783,6.3,5,53.8,6.98,3.67,High
Office,21,0,48.2,5929,7,6.8,62,2.67,4.58,Medium
Office,40,18,51.7,10329,5.6,1.7,68.2,1.56,2.89,High
Office,24,2,44.3,6541,6.8,5.9,82.2,3.76,4.15,High
Remote,39,13.5,38,12052,8.3,7.6,72.7,5.81,4.73,Medium
Remote,37,11.2,43.4,11503,7.9,6.6,69.7,8.4,3.27,High
Office,32,9.7,47.1,7972,4.6,3.4,65.8,2.9,3.74,High
Office,21,0,47.8,5246,5.4,6.5,67.1,3.25,1.95,High
Remote,41,17.1,48.4,11793,7.2,4.2,64.5,7.45,2.85,High
Remote,44,15.3,45.5,11609,4.7,1.8,63.6,8.49,1.13,High
Hybrid,30,8.3,46.4,9315,8,2.5,72.8,4.29,3.38,High
Hybrid,30,7.8,45.1,8281,7.9,6.3,66.3,4.94,3.72,High
Remote,37,11.2,41.6,10344,7,4.5,72.4,6.49,1.42,High
Hybrid,22,0.8,36.3,6036,6.9,6.6,87,4.27,4.41,High
Remote,32,9.9,42.9,8287,7.3,6,68.8,7.05,3.73,High
Remote,39,11.3,50.2,10129,6.9,6.6,67.3,6.6,2.63,High
Office,27,5.9,43.2,6901,5.4,4.7,64.3,1.22,2.84,High
Office,39,11.5,47.2,9718,5,6.5,49.2,2.55,3.11,High
Remote,40,12.2,40.8,10881,7.9,4.5,96.3,8.72,3.16,High
Office,21,0,49.4,6783,6.5,5.2,76.5,2.78,3.11,High
Remote,33,11.3,48.6,10372,5.6,6.9,73.4,6.42,3.62,High
Remote,27,4.5,44.4,9368,7.8,0.1,72.5,3.77,2.54,High
Remote,22,1,41.5,8287,7.5,6.1,73.1,7.82,3.89,High
Remote,34,10.3,47.1,9923,9,7.3,77.6,5.75,4.57,Medium
Office,21,0,55,5000,6.8,8.5,83.2,4.26,5.43,Medium
Remote,50,17.6,40.5,12659,5.4,0.3,75.4,7.42,1.74,High
Office,40,16.4,45.2,10223,5.7,2.3,78.8,3.33,2.96,High
Office,37,14.2,38.4,8783,8.5,3.4,69.1,1.6,2.89,High
Remote,41,15,40.3,11672,7.6,4.5,84.2,7.65,2.93,High
Remote,22,0.8,38.3,7116,6.4,3.6,71.5,6.51,2.02,High
Remote,41,15.2,41.5,11310,8.8,1.8,85.8,5.4,3.95,High
Office,37,10.4,56.5,9169,5.5,2.6,61.9,3.63,2.69,High
Office,41,15.4,60,10295,6.3,5.1,82.8,4.57,2.48,High
Remote,34,11.6,34.7,9511,7.8,4.9,78.8,6.93,2.47,High
Remote,34,11,40.7,10575,5.9,3.4,74.2,6.82,2.74,High
Remote,32,8.4,35.1,8948,7.3,4.5,76.9,7.39,2.01,High
Hybrid,29,7.7,50.8,8857,4.8,9.2,64,3.47,5.22,Medium
Office,34,9,42.9,7679,6.7,5.5,81.4,2.02,4.46,High
Hybrid,34,10.8,45.6,8313,6.6,4.5,67.8,3.97,3.94,High
Remote,33,11,45.9,10115,5.8,5,56.1,7.8,2.35,High
Office,24,2.7,44.5,6197,7.4,5,60.7,2.01,5.42,Medium
Remote,35,13.8,44.5,10198,6.4,4.9,67.7,8.26,3.16,High
Remote,29,5.1,47.2,7319,6.6,8.6,62,4.99,4.29,High
Office,36,14.8,41.7,9431,6.8,4.1,70.1,2.14,4.37,High
Remote,37,15.1,39.3,12086,6.4,2.1,72.1,7.09,2.77,High
Remote,34,8,39,10010,6.4,3.4,70.7,6.59,2.28,High
Remote,28,6.8,47.3,7992,6.8,8,66.6,5.18,4.31,High
Remote,34,9.5,45.8,9834,6.4,7.4,71.1,6.86,4.06,High
Hybrid,37,10,41.2,8961,6.6,2.8,67.5,3.98,2.69,High
Remote,40,13.5,35,10902,6.5,5.7,83.5,6.67,2.65,High
Remote,33,7.2,43.1,9032,5.7,5.5,50.6,8.42,1.94,High
Office,25,2.6,58,6054,5.6,2.5,61.9,3.22,2.22,High
Office,37,13.8,54.2,10165,4.4,4.2,58,2.1,2.84,High
Remote,39,12.4,42.1,10322,6.5,4.2,89.9,7.54,4.01,High
Office,28,6.6,41.6,7162,6.6,8,73.3,2.34,4.67,Medium
Remote,31,8.6,37.5,9498,5.5,1.2,52.7,3.78,2.18,High
Remote,32,10.4,42.7,10363,6.2,7.3,82.9,9.42,3.27,High
Office,28,6.4,43.3,7424,7.3,3.5,76.4,2.33,4.16,High
Remote,24,2.1,45.1,7609,5.6,3,77.7,6.3,1.91,High
Hybrid,44,14,41.2,11535,6.3,7.4,66,4.42,4.33,High
Office,31,6.5,48.9,6919,6,4.5,85.2,2.57,3.11,High
Office,27,6,50.9,7058,5.1,0,64.4,1.15,0.87,High
Hybrid,32,8.6,54.8,8479,6.7,5.7,78.8,6.48,2.76,High
Office,43,18.5,43,10908,5.6,7.1,62,3.63,2.98,High
Remote,40,14.3,41,10340,7.1,1.3,75.2,6.9,1.95,High
Remote,27,5.2,50.3,8188,6.8,6.4,67.9,4.91,3.82,High
Office,29,6.3,44.5,7111,7.7,5.8,81.6,2.81,3.74,High
Hybrid,42,15.7,48,11786,5.6,7,81.2,2.82,2.88,High
Remote,34,11.6,50.2,10178,6,4.1,79.8,6.57,1.99,High
Office,21,0,48.2,5257,6,0.4,75.2,1.4,2.07,High
Remote,34,12.5,43.2,10397,6.9,8.8,71.4,5.09,3.93,High
Hybrid,32,9.4,50,9254,5.5,4.5,74.7,4.42,2.83,High
Remote,39,12.8,48.9,11037,5.8,2.1,72.1,6.96,1.3,High
Remote,21,0,45.2,6687,5.5,7.2,77.4,4.81,3.88,High
Remote,31,7.2,50.1,9816,6.7,5.4,56.3,7.14,2.04,High
Office,38,13.4,60,9531,6.7,4.6,67.8,1.62,3.14,High
Remote,33,9,49.9,10503,4.7,5.8,51.5,7.27,2.58,High
Remote,21,0,45.7,7234,6.8,6,68.4,9.64,3.57,High
Hybrid,31,8.9,53.9,8413,6.4,1.4,76.3,4.42,1.86,High
Office,36,14.6,47.7,9907,6.1,0,69.1,1.87,1.94,High
Remote,25,2.9,47.4,6992,7.5,1.7,66.6,5.65,2.27,High
Hybrid,31,8.6,43.6,9038,8.4,1.9,67.3,5.93,3.68,High
Remote,36,9.4,39.1,10317,5.7,4.7,59.2,7.71,2.59,High
Office,29,6,45.4,7682,6,4,83.3,2.16,2.28,High
Remote,25,3.2,48.2,7502,4.4,5.4,60.5,9.16,3.23,High
Office,40,11.9,45.3,8968,6.9,3.8,77.2,4.05,4.25,High
Office,38,16.8,53,11095,6.4,5.7,73.2,2.81,2.96,High
Office,34,8.8,47.8,7686,7.9,0.7,80.8,3.94,2.56,High
Office,25,4,53.6,6232,4.1,1.7,53.6,3.67,0.73,High
Remote,30,5.7,41.7,7662,5.5,4.2,78.2,6.5,2.56,High
Office,35,9.1,43.4,8864,5.8,7.1,82.4,3.65,3.35,High
Office,35,12.8,42.1,9786,6.3,4.6,78,3.29,2.57,High
Remote,30,8,32.1,8880,6.3,5,70.3,7.63,3.09,High
Remote,37,12.6,47.4,10584,5,8.1,68.9,6.53,3.67,High
Remote,22,0.7,40.5,6679,5.6,5.7,84.4,9.84,1.93,High
Remote,30,8,41.4,8981,7.4,2.5,89.7,7.19,2.55,High
Office,21,0,60,6003,7.1,4,75.1,4.67,3.28,High
Remote,37,10.8,38.8,10328,5.6,2.2,79.5,6.46,2.19,High
Remote,30,7.3,32.8,9419,7,7.2,76.4,7.91,4.76,Medium
Remote,31,7.1,40,9388,6.8,8.4,66.1,8.69,3.53,High
Office,30,7.1,48.9,6903,6.5,5.8,76.2,3.75,4.66,Medium
Remote,29,7,33.2,9215,7.9,6.7,67.9,7.04,3.89,High
Office,34,10.7,44.7,9361,5.9,5,64.1,3.67,2.53,High
Remote,32,8.4,44.5,8809,5.4,5.8,79.7,5.03,2.01,High
Hybrid,38,15.4,44.2,11264,4.6,4.6,65.8,5.21,4.03,High
Office,27,5.8,46.5,7314,5.5,4.1,72.8,1.7,4.11,High
Office,36,9.3,42.3,8297,6.6,5.4,64.7,3.76,2.11,High
Office,31,6.2,53,7607,4,2.7,58,3.74,1.29,High
Remote,28,5.9,43.7,7604,6.2,6.1,70.4,8.38,3.16,High
Remote,30,7.6,45.5,9055,4.6,4.1,76.3,8.99,1.72,High
Hybrid,30,7,54.5,8827,4.5,6.4,59.2,4.11,3.55,High
Remote,40,18.8,32.8,12089,6.6,1.6,83.5,6.54,0.98,High
Remote,31,9.4,42.5,9593,6.5,7.7,75.2,4.44,4.74,Medium
Remote,41,12.1,47.1,11289,6.2,5.6,60.7,6.82,1.67,High
Hybrid,33,11.5,43.5,9379,6.4,5.4,82.8,2.47,3.16,High
Office,32,10.2,50.8,8596,4.4,5.2,54.4,3.14,3.97,High
Remote,38,16,34.9,11547,7,2.7,70.5,5.92,2.78,High
Hybrid,26,5,47.7,6683,6.1,5.2,70.6,5.49,3.97,High
Office,32,8,51.6,7929,5.6,6.1,78.1,2.9,2.25,High
Remote,31,7.2,46.2,8883,6.8,2.8,74.6,9.02,3.07,High
Remote,31,6.6,45.7,9313,6.7,4.7,80.8,4.96,2.95,High
Remote,50,26.5,38.8,15445,7.9,4.2,85.4,4.91,2.99,High
Office,35,9.3,51.3,8810,5.6,4.7,68.6,1.4,2.7,High
Remote,31,10,40.9,9292,6.2,8.3,78.3,6.48,4.23,High
Remote,40,15.4,39.2,12100,8,7.7,95.3,4.67,4.12,High
Office,29,5,53,6122,5.2,6.5,64.9,1.86,3.5,High
Office,28,4.9,38.6,7022,7.8,5,73.9,1.9,3.22,High
Office,21,0,44.4,5279,7.3,3.6,80.7,2.64,3.36,High
Office,33,9.2,50.5,8176,7,4.2,72.5,2.86,2.78,High
Hybrid,41,12.1,46.4,9980,7.6,5.2,83.4,2.23,3.59,High
Hybrid,33,10.5,49.2,9232,5.2,5.2,87.3,4.58,4.16,High
Office,31,6,48.8,7549,6.9,1.7,75.3,3.26,2.8,High
Office,21,0,54,6578,4.6,7.7,72.1,4.66,3.04,High
Remote,24,2.9,37.3,8039,7.4,5.4,91,6.48,4.29,High
Remote,32,8.7,41.4,10503,7.6,4.8,72.8,4.83,4.22,High
Office,25,2.5,57.4,6270,6.1,7.1,66.4,2.54,4.94,Medium
Office,31,9.2,45.2,8654,6.5,5,69.3,1.99,4.29,High
Remote,21,0,46.3,7046,6.7,5,74.8,5.41,3.27,High
Office,34,10,51.9,8336,4.3,4.8,68.5,3.94,3.23,High
Remote,32,10,48.4,9639,7,5.7,88.5,7.01,3.09,High
Remote,40,11.8,30,10328,7.3,3.4,74,7.09,2.28,High
Remote,21,0,43.2,7825,4.7,7,55.1,8.23,2.41,High
Office,34,11.1,50.1,8338,6.3,6.5,61.1,1.95,4.47,High
Remote,47,24.5,36.4,13522,7.9,4.7,74.1,5.53,4.18,High
Remote,36,9.7,46.3,10295,8.2,4,95.4,6.28,2.86,High
Office,37,12.8,51.7,9109,4,6.5,65.7,3.15,3.35,High
Remote,29,5.5,34.1,9184,6.2,6.1,71.3,6.19,3.31,High
Hybrid,39,11.5,43.4,9769,7.1,2.6,60.7,5.64,2.1,High
Office,21,0,47.5,5598,5.1,6.5,72.7,1.92,3.67,High
Hybrid,32,7.1,52.2,8671,7.8,7.9,65.7,1.79,4.87,Medium
Remote,21,0,49.8,8494,7.3,8.8,83.5,8.08,4.23,High
Hybrid,44,17.6,41.4,11510,5.1,4.7,78,5.18,2.62,High
Office,32,6.9,53.3,7745,5,2.7,59.6,2.22,1.92,High
Remote,36,10.7,42.1,9822,6.5,7.3,57.6,8.47,1.79,High
Remote,24,2.9,40.3,7422,7.4,5.9,75.9,4.23,5.31,Medium
Remote,32,10.3,33.9,9647,7.7,10,81.5,6.73,4.42,High
Hybrid,31,6.6,46.8,9090,6.8,6.7,58.1,5.17,3.54,High
Office,39,13.9,50.3,9564,5.4,3.8,81.9,2.09,3.26,High
Remote,21,0,45.4,6966,6.9,4.7,89.1,7.34,3.59,High
Remote,37,11.3,40.5,9923,6.3,7.6,67.5,7.65,3.25,High
Office,24,2.9,56.1,7792,4.1,1.8,79.6,3.23,1.94,High
Office,30,6.7,46.3,8271,7.9,7.6,69.8,3.75,5.45,Medium
Hybrid,37,15,41.7,11120,4.4,6.1,78.9,3.12,1.81,High
Office,36,10.7,46.1,9809,6.6,7.5,60.6,3.41,4.69,Medium
Office,29,7.3,46.4,7475,5.9,3.9,59.2,3.79,2.05,High
Office,34,10.5,46.9,9025,6.4,2.6,72.3,0.99,3.47,High
Office,30,6.1,49,8478,7.5,3.2,75,0.89,2.4,High
Remote,28,5.7,34,8542,5.7,5.8,70.7,4.02,2.88,High
Hybrid,46,18.2,51.8,11154,5.6,6.4,48,3.21,3.28,High
Remote,46,16.9,42.1,11833,5.8,6.1,73.3,7.76,2.93,High
Hybrid,39,17,46.5,11210,6.8,2.7,85.3,2.18,2.68,High
Remote,22,0.9,38.5,7581,6,9.7,79.2,4.44,5.53,Medium
Remote,27,4.6,43.7,7742,5.1,1.4,73.9,6.18,0.46,High
Office,35,12.4,56.7,8911,5.1,8,74.8,2.17,3.15,High
Hybrid,27,5.1,46.4,7862,7.1,4.5,72.4,4.18,2.96,High
Hybrid,29,6.6,49.7,7921,6.3,7,60.3,5.08,2.32,High
Hybrid,38,16.5,51.8,11442,5.2,3.3,66.8,4.93,2.79,High
Remote,40,13.6,39,11445,6.7,2.8,65.6,7.86,2.44,High
Remote,28,6.8,43.2,9228,6,3.1,47.5,6.48,2.37,High
Hybrid,28,4.3,44.4,7404,7.3,6.9,81.6,4.66,3.56,High
Office,25,3.5,56.7,6086,7.7,5.4,75.5,3.01,4.77,Medium
Office,28,5.8,50,7516,4.8,4.9,70.7,2.86,3.24,High
Hybrid,28,5.5,44.3,7658,4.4,4.2,68.4,2.95,2.88,High
Office,33,8.1,51.2,9662,5.2,8.5,90.1,2.18,3.55,High
Hybrid,42,19.4,40,11531,6.2,4,81.8,6.45,4.58,Medium
Office,26,4.2,39.5,6541,6.3,6.1,62.8,2.68,5.3,Medium
Office,28,6.7,48.2,7988,8.1,3.3,87.6,2.41,4.21,High
Office,21,0,49.2,5210,6.8,5.1,66.1,2.03,4.13,High
Office,25,3.7,45.2,6855,5.5,5.1,91.5,3.67,3.36,High
Remote,41,14,39.1,11960,8,3.6,84.1,6.27,3.48,High
Remote,44,22.9,46.1,13775,7.7,2.6,81,7.81,2.27,High
Remote,21,0,41.7,7284,8.3,6.1,80.8,6.38,3.08,High
Office,45,14.8,53.1,11126,5.9,10,66.8,2.37,4.56,Medium
Office,25,3.2,50.7,6626,7.8,5.5,76.5,2.24,4.02,High
Hybrid,33,11.1,44.1,9652,5.9,7.9,72.8,3.57,3.1,High
Remote,30,7.7,45.8,9999,6.1,6.5,48.6,8.04,3.04,High
Hybrid,26,3.4,41.2,7058,5.7,6.1,76.6,4.82,4.26,High
Office,23,1.3,45.2,6839,6.7,7.2,78.8,1.56,4.39,High
Office,31,8.6,47.9,8024,7.9,3,78.9,2.34,3.4,High
Hybrid,30,7.7,43.1,7740,6.3,6.5,68,4.66,4.73,Medium
Remote,35,12.1,38,10025,6,5.2,85.3,4.28,4.2,High
Remote,31,9.3,39.5,9332,6.8,3.4,76.5,8.38,2.69,High
Office,30,6.2,39.3,7841,8.3,4.8,85.9,3.52,4.81,Medium
Hybrid,32,9.6,45.6,9814,6.5,5.2,70.6,5.62,3.02,High
Office,28,5.6,56.6,7291,6.8,4.8,60.4,3.53,4.75,Medium
Office,34,7.9,50.6,8296,4,5.8,60.3,3.65,2.05,High
Remote,44,18.5,43.8,11814,6.8,3.6,71.8,7.07,2.16,High
Office,42,19.8,55.7,10788,6.7,3.4,71.5,3.26,2.6,High
Office,32,10.6,46.5,9631,7.9,5.4,79.6,2.11,4.58,Medium
Remote,24,2,46.4,7237,6.3,6.4,80.1,8.7,2.82,High
Office,44,14.3,46.6,10468,6.1,5,70.7,2.6,4.1,High
Hybrid,43,15.1,42.8,11574,7.2,4.9,77.2,2.48,4.42,High
Hybrid,21,0,47.8,6366,7.3,2.8,69.7,4.05,1.99,High
Remote,38,13.1,49.7,10999,6.9,6.6,75.6,8.44,2.57,High
Hybrid,45,18.4,45.5,10630,6.8,7.6,71.8,4.12,3.78,High
Hybrid,32,7.7,48.1,9013,5.3,2.8,43,4.32,1.15,High
Remote,37,15.1,47.7,11000,4.9,5.2,79.2,7.44,1.74,High
Remote,30,6.2,42.7,8644,4.9,5.2,71.4,6.09,2.69,High
Office,42,16.9,43.1,11218,5.9,7,72.5,4.18,3.84,High
Remote,34,10.3,45.7,10114,6.4,7,83.6,7.55,3.67,High
Hybrid,28,5.5,43.5,8162,6.5,2.7,74.1,4.37,1.57,High
Office,34,9.5,46.2,8448,5.8,5.5,77.1,1.66,3.42,High
Hybrid,21,0,53,7110,5.8,3.3,79.7,4.13,2.31,High
Office,31,6.6,47.2,7655,6,2.3,53.6,3.22,3.75,High
Hybrid,32,7.7,49.3,8935,7.3,4.5,69.3,3.07,2.99,High
Remote,21,0,41.8,6217,6.7,7.7,50.3,5.74,3.99,High
Remote,29,7.1,43.4,9068,5.9,4.6,72.6,4.52,3.19,High
Remote,38,15.5,39.1,11593,5.8,4.9,66.9,5.74,2.44,High
Office,35,12.5,56.9,9390,5.1,7.8,81.5,3.27,4.39,High
Hybrid,27,5.4,50,8122,5.3,7.8,64.2,3.9,2.21,High
Office,39,12.6,37.9,11064,6.5,7.5,62.3,1.6,4.51,Medium
Hybrid,34,10.7,48.9,9848,5.5,3.9,85.9,2.53,2.24,High
Office,26,3.1,49,6246,6.8,5.8,63.7,1.42,3.42,High
Office,27,3.8,43,7034,6.2,6.7,66.6,3.54,4.6,Medium
Office,30,6.6,44.1,7666,4.3,5.4,64.4,1.78,4.44,High
Office,27,5.7,52.3,7621,4.6,2.6,77.1,2.59,1.7,High
Remote,34,12,42.2,9658,7.6,7.9,68.9,9.52,2.32,High
Office,30,6.5,42.1,6653,5.5,3.4,81.1,2.11,3.6,High
Remote,36,9.5,40.6,9429,7.5,6.3,82.7,6.18,4.39,High
Hybrid,41,12.6,48.3,10299,4.8,3.7,50,3.64,2.31,High
Office,28,4.3,52.2,7673,5.6,1.9,59.4,1.81,2.36,High
Remote,44,21.1,41.3,13423,4.3,7,53.3,5.59,3,High
Remote,42,19.9,43.2,12304,6.5,4.2,76.2,8.77,2.79,High
Remote,39,13.1,43.2,11078,7.4,4.4,72.9,8.19,2.3,High
Office,39,15.1,57.2,10866,5.1,7.2,62.3,2.46,5.96,Medium
Remote,30,8.5,43.4,8871,7.6,7,80.5,7.31,2.73,High
Office,32,7.7,48.2,7543,5.9,5.8,99.9,2.46,4.15,High
Hybrid,36,9.1,39.4,9222,9,4,80,5.39,4.86,Medium
Hybrid,37,13.3,46.3,9523,5.8,0,73.3,3.74,1.77,High
Hybrid,32,7.5,43,9101,5.5,2.7,69.7,4.59,2.15,High
Remote,31,8.7,37.1,8648,6.9,7,68.4,5.5,4.18,High
Remote,45,23.6,44.2,12608,5.7,3.8,64.9,4.49,2.99,High
Hybrid,41,16.2,40.2,11927,5.8,1.4,63.8,4.3,1.85,High
Remote,35,8.8,44,9710,5.5,5,70.7,6.89,2.47,High
Office,21,0,51.6,5282,5.8,4.8,57.6,3.94,3.06,High
Hybrid,45,21.3,54.4,12314,4.7,2,88.4,5.28,2.45,High
Office,39,11.6,41.9,10024,5.5,4.7,74.3,3.61,2.42,High
Remote,32,8.9,36.3,10064,6.2,9.4,55,8.13,2.72,High
Office,36,10.2,47.7,8326,7,5.2,95.6,1.1,4.39,High
Remote,49,24.2,40.1,14280,5.6,2.3,64.5,7.27,2,High
Office,35,10.4,46.9,8049,7,6.6,66.8,1.83,4.9,Medium
Remote,26,4,39.3,8332,6.5,3.3,91.6,6.08,2.77,High
Hybrid,37,9.8,45.9,10129,6.4,3.8,52.6,4.46,3.68,High
Office,28,6.6,46,7201,5.8,4.1,84.3,3.41,3.91,High
Hybrid,30,8,49.5,8728,5.8,1.1,59,7.09,0.97,High
Hybrid,33,8.3,42.3,9357,6.8,4.9,64.3,4.69,4.36,High
Remote,30,8.5,35,9266,6.2,5.7,100,6.62,3.12,High
Hybrid,37,14.1,45.6,9817,6.1,6.3,62.9,6.48,2.46,High
Remote,31,7.6,37.7,10191,6.2,4.9,82,8.35,3.09,High
Hybrid,42,20.2,47.3,11667,7.2,5.8,85.5,4.1,3.8,High
Remote,39,16.7,49.2,11894,6.9,4.3,66.3,7.47,1.74,High
Office,46,23.8,49.3,12320,7.1,4.1,71.7,2.53,3.6,High
Remote,23,1.4,35.5,7403,6.8,6.2,70.8,8.32,3.04,High
Hybrid,31,7.2,48,8286,7.1,1.6,78,2.43,2.8,High
Remote,32,10.9,48.5,9706,6.2,3.4,60.3,6.21,2.42,High
Office,43,16.4,47.6,10418,6.3,5.4,63.4,3.34,2.83,High
Remote,38,14.1,39.6,11366,6.8,1.8,75.5,6.92,1.43,High
Remote,31,7.7,39.7,8513,5.3,7.6,69.5,5.79,2.51,High
Hybrid,37,12.4,46,9737,7.4,1.8,76.5,3.22,3.48,High
Remote,32,7.9,45.6,9256,6.4,6.7,96.9,7.69,3.45,High
Office,38,12.3,50,9501,6.5,7.3,57.2,1.46,4.26,High
Remote,25,3.3,39.6,7212,6.8,8.4,69.3,5.31,3.79,High
Remote,32,9,45.4,10098,7.1,7.4,81.2,6.51,4.46,High
Office,33,7.3,46.1,7095,8.3,7.2,95.1,2.54,3.9,High
Hybrid,28,4.6,39.6,6886,5.7,5.9,63.5,5.22,2.28,High
Remote,37,9.9,43.3,9646,5.6,4.3,77.2,8.26,1.81,High
Hybrid,35,9.9,48.9,9481,5.9,3.4,61.2,3.26,3.07,High
Remote,36,10.9,40.3,10461,6.9,5.1,87.4,5.81,1.95,High
Office,33,7.2,40.1,7880,6.6,10,83.4,3.78,5.05,Medium
Hybrid,30,6.2,52,8664,6.8,7.1,80,5.93,3.29,High
Remote,32,6.6,39.4,8759,6.6,7.2,77.5,4.39,4.47,High
Remote,38,11.9,45.4,11703,4.6,7.7,54.3,5.95,3.88,High
Office,22,1,33.9,6370,5.1,9.7,66.5,2.52,4.82,Medium
Remote,43,16.4,43.3,11790,6,1.6,56.3,6.87,2.25,High
Remote,34,12.2,41.1,10803,6.8,4.2,77.4,7.97,3.12,High
Office,34,12.2,58.2,9133,5.1,5.3,55.4,4.26,3.63,High
Office,37,15.8,51,10469,4.5,3.7,59,2.67,2.86,High
Hybrid,23,1.9,49.7,6186,6.8,3,79.3,2.99,3.59,High
Hybrid,31,8,51.6,8401,5.9,4.9,79.8,5.22,2.81,High
Remote,22,0.8,40.8,7278,7.4,5.6,78.6,6.74,4.16,High
Office,49,20.3,44.3,12272,7.8,4.3,77.9,2.9,4.43,High
Hybrid,34,10.6,47.1,9779,5.9,4.7,60.9,4.35,2.67,High
Office,24,2.1,35,6864,5.8,6.4,85.5,1.9,4.47,High
Remote,24,2.4,44.8,6876,6.2,4.5,68.1,7.36,1.83,High
Remote,22,0.8,43.6,7106,7.4,0.9,71.1,5.77,1.95,High
Hybrid,39,17.1,37.9,11346,5.1,3.7,80.9,2.85,2.74,High
Remote,37,14.5,48.8,12154,5.1,1,84.4,6.8,1.18,High
Remote,26,3.9,43.2,8110,6,4.6,54.5,8.61,0.76,High
Office,21,0,48.3,6053,6.8,3,80,1.72,4.51,Medium
Hybrid,39,17.8,43.2,11498,5.8,10,64.9,4.42,4.12,High
Hybrid,40,14.4,40.7,10557,4.7,5.4,76.9,3.94,3.03,High
Hybrid,37,15.9,46.9,10691,8.3,4.5,70.9,2.84,4.08,High
Hybrid,34,9.5,45,9885,6.1,3,70.9,4.99,2.72,High
Hybrid,31,9.8,41.4,9464,7,6.7,76.7,5.01,3.54,High
Remote,26,3.8,39.3,8571,8.2,4.2,69.4,6.38,2.84,High
Remote,38,14.6,39.2,11448,5.6,7.9,84,7.19,4.06,High
Office,33,11.6,46.3,9524,4.3,2.8,60.5,2.11,2.85,High
Remote,28,4.5,37,7822,5.3,7.7,70.6,8.1,3.47,High
Hybrid,33,11.4,46,9402,8.1,4.2,69.2,5.75,3.08,High
Remote,37,14,39.5,10876,5.9,6.5,71.5,6.18,2.85,High
Remote,31,6.7,37.8,8293,5.1,6.7,82.3,7.87,3.5,High
Hybrid,26,4.9,48.3,7557,6.1,7.9,48,4.04,4.13,High
Office,36,11.8,38,8713,5.9,2.6,92.1,1.74,2.43,High
Remote,22,0.9,47.5,7303,7.6,2.3,70.7,7.16,2.14,High
Office,30,7.1,49.6,8528,8.4,4.6,84.9,2.4,3.99,High
Office,34,12.8,38.2,9698,6.4,3.9,99.3,1.89,3.84,High
Hybrid,26,4.8,36.7,7396,6.1,4.5,73.9,2.86,3.34,High
Remote,28,6.9,36.9,7962,8.7,4.4,90.2,8.04,2.89,High
Remote,33,8.6,44.4,9901,7.6,5.2,80.2,7.61,3.15,High
Remote,43,17.5,54.4,12293,6.8,6.5,84.7,8.21,1.97,High
Remote,37,15.1,40.8,10968,6.3,7.7,76,7.8,3.49,High
Office,21,0,47.6,5842,6.9,2.7,67.3,2.64,2.83,High
Remote,31,6.2,37.9,8818,6.6,6.5,53.5,6.91,3.66,High
Office,29,7,39.9,7312,6.4,6.5,71.7,1.95,3.71,High
Office,23,1.5,52.1,6675,7.6,4.8,68.5,2.82,2.94,High
Office,33,7.4,59.5,8414,5.7,5.6,67.5,4.16,1.86,High
Remote,31,8.2,36.7,8897,5.9,5,70,5.37,4.03,High
Remote,21,0,48,6840,6.1,4.9,67.6,7.18,1.84,High
Hybrid,33,8,46.6,8655,7.6,3.4,74.6,5.57,3.92,High
Remote,41,13.8,39.2,11293,6.8,4.9,88.1,5.63,2.8,High
Office,26,3.1,52.8,7142,5.9,3.6,50.1,2.94,2.3,High
Remote,21,0,40.3,6983,7.4,4.9,62.8,6.01,3.07,High
Remote,35,10.1,41.3,9327,6.8,7.6,67,7.62,2.93,High
Hybrid,37,12.2,46,10017,6.6,2.4,61.5,2.48,2.94,High
Remote,39,13.8,46.7,11395,7.8,7.8,64.9,8.49,5.31,Medium
Remote,36,14.9,37.2,10781,7.5,5,68.8,6.54,3.24,High
Hybrid,24,3,48.2,6435,5.2,3.4,64.6,3.86,2.58,High
Hybrid,21,0,46.4,6072,7.9,2.9,100,5.04,3.44,High
Hybrid,33,10.5,39.6,8238,6.9,6.3,65,2.8,4.36,High
